% N density lambda LLtest TP FP
1000 0.13 30.000000  0.000000 0.845787 0.427910
1000 0.13 20.000000  0.000000 0.869634 0.453830
1000 0.13 10.000000  0.000000 0.895072 0.494330
1000 0.13 5.000000  0.000000 0.906200 0.518167
1000 0.13 1.000000  0.000000 0.909380 0.538070
1000 0.14 500.000000  0.000000 0.279522 0.191310
1000 0.14 450.000000  0.000000 0.327354 0.216305
1000 0.14 400.000000  0.000000 0.345291 0.229386
1000 0.14 350.000000  0.000000 0.358744 0.242233
1000 0.14 300.000000  0.000000 0.381166 0.251810
1000 0.14 250.000000  0.000000 0.394619 0.262789
1000 0.14 200.000000  0.000000 0.409567 0.273301
1000 0.14 150.000000  0.000000 0.421525 0.281243
1000 0.14 100.000000  0.000000 0.434978 0.292455
1000 0.14 50.000000  0.000000 0.454410 0.309274
1000 0.14 40.000000  0.000000 0.458894 0.315113
1000 0.14 30.000000  0.000000 0.460389 0.317916
1000 0.14 20.000000  0.000000 0.470852 0.331231
1000 0.14 10.000000  0.000000 0.472347 0.334034
1000 0.14 5.000000  0.000000 0.476831 0.336604
1000 0.14 1.000000  0.000000 0.476831 0.341275
5000 0.12 500.000000  0.000000 0.618271 0.365229
5000 0.12 450.000000  0.000000 0.676998 0.386442
5000 0.12 400.000000  0.000000 0.717781 0.399585
5000 0.12 350.000000  0.000000 0.753670 0.405349
5000 0.12 300.000000  0.000000 0.784666 0.415033
5000 0.12 250.000000  0.000000 0.802610 0.427254
5000 0.12 200.000000  0.000000 0.822186 0.440627
5000 0.12 150.000000  0.000000 0.843393 0.457228
5000 0.12 100.000000  0.000000 0.867863 0.482822
5000 0.12 50.000000  0.000000 0.889070 0.517178
5000 0.12 40.000000  0.000000 0.897227 0.520867
5000 0.12 30.000000  0.000000 0.908646 0.536085
5000 0.12 20.000000  0.000000 0.910277 0.541619
