%n density lambda lse TP FP 
%n density lambda lse TP FP 
30 0.0618 0.2 1.487203 0.6254826 0.6023236
%n density lambda lse TP FP 
30 0.2188 0.2 1.503327 0.598659 0.578085
30 0.2188 0.2 1.481860 0.5795019 0.5823093
30 0.2188 0.2 1.554694 0.5862069 0.5862775
30 0.2188 0.2 1.513945 0.5967433 0.5879416
30 0.2188 0.2 1.540752 0.6139847 0.5888377
30 0.2196 0.2 1.496273 0.6125954 0.5786776
30 0.2196 0.2 1.505166 0.5858779 0.5879036
30 0.2196 0.2 1.539233 0.5782443 0.5941825
30 0.2196 0.2 1.519579 0.5973282 0.5931574
30 0.2196 0.2 1.517422 0.6049618 0.586366
30 0.219 0.2 1.501284 0.6105263 0.5866837
30 0.219 0.2 1.446081 0.5980861 0.5915493
30 0.219 0.2 1.539887 0.6095694 0.5838668
30 0.219 0.2 1.476804 0.5913876 0.593598
30 0.219 0.2 1.473256 0.5760766 0.5879641
30 0.2182 0.2 1.506813 0.5869356 0.5940138
30 0.2182 0.2 1.510238 0.6003842 0.5764902
30 0.2182 0.2 1.556759 0.5878963 0.5885137
30 0.2182 0.2 1.463462 0.6071085 0.5910719
30 0.2182 0.2 1.553609 0.592219 0.5848043
30 0.2194 0.2 1.505179 0.6026743 0.5921086
30 0.2194 0.2 1.489368 0.6026743 0.588906
30 0.2194 0.2 1.500729 0.5969436 0.5863438
30 0.2194 0.2 1.502564 0.6208214 0.5833974
30 0.2194 0.2 1.503451 0.591213 0.5967205
%n density lambda lse TP FP 
30 0.3138 0.2 1.534020 0.6026991 0.576654
30 0.3138 0.2 1.592336 0.6020408 0.5878753
30 0.3138 0.2 1.544649 0.6135616 0.5890411
30 0.3138 0.2 1.562532 0.6050033 0.5871466
30 0.3138 0.2 1.520114 0.6050033 0.5910813
30 0.3146 0.2 1.519440 0.6034143 0.599358
30 0.3146 0.2 1.593371 0.5975049 0.5824336
30 0.3146 0.2 1.554057 0.5787919 0.5840385
30 0.3146 0.2 1.455561 0.5764938 0.5894368
30 0.3146 0.2 1.496174 0.5991464 0.583309
30 0.3138 0.2 1.504694 0.6082949 0.5849607
30 0.3138 0.2 1.521012 0.5878868 0.5944331
30 0.3138 0.2 1.474488 0.6010533 0.5763626
30 0.3138 0.2 1.536038 0.6115866 0.5890411
30 0.3138 0.2 1.498249 0.5865701 0.5887496
30 0.3128 0.2 1.541612 0.6132761 0.5817811
30 0.3128 0.2 1.457536 0.6010568 0.6002619
30 0.3128 0.2 1.520374 0.577609 0.5846915
30 0.3128 0.2 1.468955 0.6076618 0.5941502
30 0.3128 0.2 1.536380 0.594782 0.5849825
30 0.3138 0.2 1.504275 0.6142199 0.5814631
30 0.3138 0.2 1.553118 0.5776827 0.5907899
30 0.3138 0.2 1.557705 0.6017117 0.5935587
30 0.3138 0.2 1.545244 0.6010533 0.6030312
30 0.3138 0.2 1.528371 0.5924951 0.5935587
%n density lambda lse TP FP 
