n density b b_old_avg lambda glcalls_avg lse TP FP 
%n density b b_old lambda lse TP FP 
30 0.3138 200 42.9105 236.3680 5 1.105212 0 0
30 0.3138 200 42.59245 236.3754 5 1.076578 0 0
30 0.3146 200 42.91983 236.3614 5 1.063548 0 0
30 0.3146 200 42.94216 236.3598 5 1.098945 0 0
30 0.3146 200 42.95537 236.3652 5 1.083908 0 0
30 0.3146 200 42.63774 236.3654 5 1.068523 0 0
30 0.3146 200 42.68252 236.3715 5 1.077526 0 0
30 0.3138 200 42.73759 236.3767 5 1.084295 0 0
30 0.3138 200 42.71196 236.3792 5 1.069945 0 0
30 0.3138 200 42.91987 236.364 5 1.078995 0 0
30 0.3138 200 42.87138 236.3496 5 1.091038 0 0
30 0.3138 200 42.29861 236.3554 5 1.086850 0 0
30 0.3128 200 42.97885 236.3701 5 1.087138 0 0
30 0.3128 200 42.76321 236.3592 5 1.076618 0 0
30 0.3128 200 42.66424 236.3870 5 1.077504 0 0
30 0.3128 200 42.86622 236.3551 5 1.103901 0 0
30 0.3128 200 42.46613 236.3762 5 1.090898 0 0
30 0.3138 200 43.02039 236.3555 5 1.087346 0 0
30 0.3138 200 43.01299 236.3703 5 1.059223 0 0
30 0.3138 200 42.651 236.3398 5 1.046719 0 0
30 0.3138 200 42.80188 236.3558 5 1.118709 0 0
30 0.3138 200 43.04699 236.3519 5 1.069970 0 0
%n density b b_old lambda lse TP FP 
30 0.3138 1000 42.55812 1008.452 7 1.0811 0 0
30 0.3138 1000 42.83786 1008.453 5 1.100618 0 0
30 0.3138 1000 43.05206 1008.452 5 1.071975 0 0
30 0.3138 1000 42.76515 1008.453 5 1.076404 0 0
30 0.3138 1000 42.68018 1008.452 9 1.118981 0 0
30 0.3146 1000 42.89934 1008.452 5 1.083195 0 0
30 0.3146 1000 42.68909 1008.453 5 1.111767 0 0
30 0.3146 1000 43.0062 1008.452 5 1.104198 0 0
30 0.3146 1000 42.9267 1008.452 5 1.078382 0 0
30 0.3146 1000 42.95904 1008.453 5 1.083881 0 0
30 0.3138 1000 42.74348 1008.453 5 1.078078 0 0
30 0.3138 1000 42.79855 1008.453 5 1.068531 0 0
30 0.3138 1000 42.95074 1008.451 7 1.090069 0 0
30 0.3138 1000 42.79446 1008.452 5 1.099541 0 0
30 0.3138 1000 42.81821 1008.453 5 1.090353 0 0
30 0.3128 1000 42.76369 1008.452 5 1.084363 0 0
30 0.3128 1000 42.75939 1008.453 8 1.110040 0 0
30 0.3128 1000 42.5298 1008.453 5 1.071524 0 0
30 0.3128 1000 42.76260 1008.452 5 1.083180 0 0
30 0.3128 1000 42.72792 1008.453 5 1.06828 0 0
30 0.3138 1000 42.63196 1008.452 5 1.068200 0 0
30 0.3138 1000 42.76832 1008.452 5 1.062807 0 0
30 0.3138 1000 43.00595 1008.452 5 1.074280 0 0
30 0.3138 1000 42.84496 1008.453 5 1.063644 0 0
30 0.3138 1000 42.52947 1008.454 7 1.072343 0 0
%n density b b_old lambda lse TP FP 
30 0.3138 10000 42.8083 9895.423 1 1.096408 0.09150757 0.07053337
30 0.3138 10000 42.79442 9890.234 1 1.133310 0.1026991 0.08481492
30 0.3138 10000 42.94327 9884.25 1 1.106120 0.1329822 0.1023025
30 0.3138 10000 42.9072 9892.363 1 1.145429 0.09743252 0.0827747
