%n density  glcalls lse TP FP 
110 0.219 6 1.054091 0 0
110 0.219 6 1.051248 0.0009569378 0.0002560819
110 0.219 6 1.046663 0.006698565 0.0007682458
110 0.219 6 1.062324 0 0
110 0.219 6 1.037234 0 0
110 0.2182 6 1.062472 0 0
110 0.2182 6 1.079309 0.01633045 0.005628038
110 0.2182 6 1.051836 0.004803074 0.001790739
110 0.2182 6 1.045641 0 0
110 0.2182 6 1.058577 0.01633045 0.002046559
110 0.2194 6 1.068725 0 0
110 0.2194 6 1.09389 0.005730659 0.001024853
110 0.2194 6 1.053250 0.0009551098 0
110 0.2194 6 1.073953 0 0
110 0.2194 6 1.080387 0 0
110 0.3138 6 1.051362 0 0
110 0.3138 6 1.094162 0.003291639 0
110 0.3138 6 1.102922 0 0
110 0.3138 6 1.106862 0.0006583278 0
110 0.3138 6 1.054311 0.004608295 0.0008743806
110 0.3146 6 1.093875 0.008535785 0.004377006
110 0.3146 6 1.088511 0.001969796 0
110 0.3146 6 1.061465 0.001313198 0
110 0.3146 6 1.067025 0.009192383 0.001167202
110 0.3146 6 1.080299 0.005252791 0.003501605
110 0.3138 6 1.084125 0 0
110 0.3138 6 1.095671 0.009874918 0.002331682
110 0.3138 6 1.070685 0.007241606 0.002623142
110 0.3138 6 1.095038 0.006583278 0.004080443
110 0.3138 6 1.120702 0 0
110 0.3128 6 1.047781 0 0
110 0.3128 6 1.106080 0 0
110 0.3128 6 1.097552 0.01188904 0.003201397
110 0.3128 6 1.087708 0.002642008 0.001164144
110 0.3128 6 1.055856 0.001321004 0
110 0.3138 6 1.065621 0.003291639 0.0008743806
110 0.3138 6 1.074129 0 0
110 0.3138 6 1.063226 0 0
110 0.3138 6 1.038890 0.005266623 0.002623142
110 0.3138 6 1.065517 0 0
%n density  glcalls lse TP FP 
80 0.0614 15 1.174563 0.5719844 0.4530151
80 0.0614 4 1.183003 0.5175097 0.4523759
80 0.0614 12 1.200268 0.5603113 0.4562114
