%n density b b_old_avg lambda glcalls_avg lse TP FP 
%n density b b_old lambda lse TP FP 
30 0.3138 1 42.6972 8502.72 9 1.063849 0 0
30 0.3138 1 42.80273 8502.665 9 1.079186 0 0
30 0.3138 1 42.7004 8502.762 9 1.078996 0 0
30 0.3138 1 42.84109 8502.635 9 1.071391 0 0
%n density b b_old lambda lse TP FP 
30 0.3138 10 42.87965 852.8462 8 1.096245 0 0
30 0.3138 10 42.77358 852.836 8 1.060989 0 0
30 0.3138 10 42.70602 852.7006 8 1.103387 0 0
30 0.3138 10 42.8841 852.7259 8 1.101093 0 0
30 0.3138 10 42.66800 852.8425 8 1.070286 0 0
30 0.3146 10 42.78002 852.7808 8 1.091804 0 0
30 0.3146 10 42.65231 852.848 8 1.065081 0 0
30 0.3146 10 42.69968 852.9046 8 1.098981 0 0
30 0.3146 10 42.84952 852.7832 8 1.056245 0 0
30 0.3146 10 42.66359 852.8087 8 1.105427 0 0
30 0.3138 10 42.59567 852.8345 8 1.095577 0 0
30 0.3138 10 42.84679 852.8213 8 1.114366 0 0
30 0.3138 10 42.86149 852.69 8 1.102709 0 0
30 0.3138 10 42.82423 852.7364 8 1.133266 0 0
30 0.3138 10 43.06759 852.6852 8 1.071042 0 0
30 0.3128 10 43.03627 852.8601 8 1.077221 0 0
30 0.3128 10 42.97962 852.7831 8 1.089941 0 0
30 0.3128 10 42.63592 852.717 8 1.109758 0 0
30 0.3128 10 42.68847 852.7598 8 1.054628 0 0
30 0.3128 10 42.74875 852.8467 8 1.115314 0 0
30 0.3138 10 42.61824 852.8704 8 1.095430 0 0
30 0.3138 10 42.90013 852.667 8 1.086027 0 0
30 0.3138 10 42.82286 852.9167 8 1.071364 0 0
30 0.3138 10 42.78069 852.7252 8 1.093462 0 0
30 0.3138 10 42.81114 852.8583 8 1.082281 0 0
%n density b b_old lambda lse TP FP 
30 0.3138 100 42.51566 87.32268 6 1.088005 0 0
30 0.3138 100 42.90497 87.33457 6 1.073693 0 0
30 0.3138 100 42.76133 87.33223 6 1.098559 0 0
30 0.3138 100 42.78893 87.2541 6 1.113669 0 0
